species_id,volume,stratum,qwen_free_text,qwen_category,raw_text_snippet,gold_free_text,gold_category,notes
"46. Impatiens  depauperata  Hook, f.,  Fl. Brit. India  1: 481. 1875; Hook. f.  in  Rec.",4,clear_white,flowers white,WHITE,"Bot. Surv. India 4: 31.1905. Herbs, annual; glabrous; stems much branched. Leaves alternate, ovate to ovate- lanceolate, abruptly narrowed to attenuate towards base, crenate along margins and ciliate on basal margin, 2 - 5 x 1 . 3 - 2 cm, sparsely hairy on upper surface; stipules linear. Flowers white, 4 - 5 , pedunculate, buds globose; bracts linear. Lateral sepals linear, 2 - 3 mm long. Standard more or less orbicular, 4 - 5 mm long. Wings 8-10 mm long; basal lobes ovate-triangular, 2 - 4 x 1 . 5 - 3 mm; distal lobes suborbicular or transversely semiovate, 4 - 7 x 3 - 4 mm. Capsules swollen at middle, 5 - 6 x 2 - 3 mm; seeds elliptic, 1-2, black. 1997] BALSAMINACEAE 141 Fl&Fr. Oct. Distrib. India:E.Himalayas, 1500-1850m. Meghalaya. Endemic.",,,
2. Pterospermum aceroides Wallich ex Kurz in J. Asiat. Soc. Beng. 42: 62.1873; P.,3,clear_white,flowers white,WHITE,"acerifolium auct. non (L.) Willd., Masters in Fl. Brit. India 1: 368.1874, p.p. Trees, 12 -16 m tall; young portions covered with a thin felted layer of minute white tomentum. Leaves 20 - 28 x 11 -16 cm, obovate to oblong, cordate at base with somewhat unequal lobes, acuminate at apex, entire, coriaceous, glabrous above, pale whitish stellate-pubescent beneath; nerves 11-14 (juvenile leaves much larger and palmately lobed); petioles 1 - 2 cm long, stout. Flowers 4 - 5 cm long; bracts broadly ovate, tomentose, thick. Sepals 5, 3.5 - 5 x 0.4 - 0.6 cm, recurved, scurfy tomentose outside, adpressed pubescent inside. Petals 5, white, 3 - 4 cm long, obovate. Stamens 15, as long as the petals or shorter; staminodes 5, longer than the stamens. Ovary 5-locular, densely 1993] STERCULIACEAE 449 sericeous; styles shorter than stamens; stigmas clavate. Capsules 12 - 18 x 3 - 4 cm, glabrous, black when mature. Seeds many, in two rows, ca 1 x 1 cm, somewhat rhomboid; wing 3 - 4 cm long, narrowed towards apex. Fl. Oct. - March; Fr. March - June. Distrib. India: Andaman & Nicobar Islands(Andaman Islands). Myanmar.",,,
"153. Impatiens racemosa D C , Prodr. 1:688.1824; Hook. f. & Thomson in J. Linn.",4,clear_white,flowers yellowish-white with reddish blotches,WHITE,"Soc.,.Bot. 4:147.1860; Hook, f., Fl. Brit. India 1: 479.1875 & in Rec. Bot. Surv. India 4: 6.1904; Biswas, PI. Darj. Sikkim Himal. 1:210.1966;H.Hara,Fl.E.Himal. 1:196.1966. Fig. 48. /. micwsciadia Hook.f. in Rec. Bot. Surv. India 4:16.16.1905. Herbs, up to 1 m high; stems slender, branched, sometimes glandular above, glabrous. Leaves ovate-elliptic to elliptic-oblong or oblanceolate, sometimes smaller, attenuate into petiole at base, acuminate at apex, shallowly crenate or crenate-serrate along margins with poorly developed filiform appendages on crenations, 3.5 -12 x0.8 - i cm, green, paler beneath; petiole 0.8 -3.5 cm long; stipular glands 2, large, rarely absent. Inflorescence a raceme, axillary, exceeding leaves, 6- 10-flowered. Flowers 1.6-2.5 cm long, yellowish-white with reddish blotches; peduncles 3 - 8 cm long; bracts ovate, ca 3 mm long, with ca 2 mm long glandular filiform appendages; pedicels alternate on peduncles, 1 -4 cm long, hairy. Lateral sepals falcate, ca 3 x l mm, usually with ca 3 mm °ng appendage, yellow. Lip shallowly navicular, shortly pointed, ca 2 x 5 mm, spurred; spur constricted, curved, 1.1 - 1.8 cm long. Standard orbicular, with an appendage,not spurred or crested, 4 - 5 mm long. Wings narrrow, pendulous, 0.7 - 1 cm long; basal es orbicular, 3 - 4 x 4 - 5 mm; distal lobes transversely semiovate to.elliptic-ovate, 200 FLORA OF INDIA [VOL.4 Fig. 48. Impatiens racemosa D C . : a. habit; b. flower; c. lateral sepals; d. wing petals. 1997] BALSAMINACEAE 201 broadly strap-shaped, shortly apiculate, 5 - 7 x 2 - 3 mm. Capsules linear or clavate, 0.5 - 1.8 cm, glabrous; seeds large, oblong, compressed, rugose. Fl. &Fr. June-Oct. Distrib. India: Jammu & Kashmir, Himachal Pradesh, Uttar Pradesh, W. Bengal, Sikkim and Meghalaya. Nepal, Tibet and Malay Peninsula. Chmmosome no. 2n = 18 (Chatterjee, A. & A.R.K. Sastry in Nucleus 13:177-200. 1970); 2n = 20 (Malla, S.B. et al. in Taxon 27: 53-61. 1977).",,,
"1970. Guarea alliaria Buch.-Ham. in Mem. Wern. Nat. Hist. Soc. 6: 305.1832, excl. Syn.",4,clear_white,flowers greenish-white,WHITE,"Rumph. Dysoxylum hamiltonii Hiern in Hook, f., Fl. Brit. India 1: 548.1875. Evergreen tree, to 25 m tall; bark dark brown outside, smooth, scaly with age, reddish-brown, streaked inside, with a smell reminiscent of garlic. Leaves 30 - 70 cm long; leaflets to 17, on young poles to 42, opposite or subopposite, drooping, oblong- lanceolate, oblique at base, entire or slightly undulate along margins, acute or acuminate at apex, 8 - 16 x 5 - 9 cm, glabrous or hairy beneath, membranous, smell reminiscent garlic when bruised; secondary nerves ca 12 on each side. Panicles 15 - 25 cm long, puberulous; bracts and bracteoles minute. Flowers 4-merous, ca 6 mm long, greenish- white; pedicels slender, to 3 mm long. Calyx small, indistinctly 4-partite, pubescent. Petals 4, glabrous. Staminal tube pubescent; anthers 8. Disk glabrous, twice as long as ovary. Ovary pubescent, 3 - 4-locular; style slender, pubescent below, glabrous above. Capsules ca 2.5 cm across, pale yellow or white, 4-loculed; seeds with a red aril. Fl. & Fr. June - Feb. Distrib. India: N.E. region; Sikkim, Assam and Meghalaya. Note. Grierson and Long (Flora of Bhutan 2( 1): 37.1991) recorded D. mollissimutn Blume for Bhutan and Darjeeling (West Bengal) and synonymized D. hamiltonii Hiern thereunder.",,,
"6. Cardamine hirsuta  L., Sp. PI. 655.1753. C. hirsuta L. var. sylvatica (Link)  Hook,",2,clear_white,flowers white,WHITE,"Fig. 20. f. & T. Anderson in Fl. Brit. India 1: 138.1872, p. p. Herbs, annual, up to 50 cm high; stems simple, diffuse or much-branched, erect or creeping at base, glabrous or hairy. Leaves very variable, glabrous or hairy, 3 - 25 x 1 - 20 mm; basal leaves forming a rosette, imparipinnate, petioled; leaflets 5 -13, orbicular or ovate, irregularly toothed or irregularly lobed, 5 - 1 5 mm across. Cauline leaves petioled or subsessile; leaflets lanceolate, narrowly oblong or obovate, toothed or irregularly lobed, obtusely rounded at apex, 5 - 25 x 1 -15 mm. Inflorescence racemose or subcorymbose, 10 - 20-flowered, up to 20 cm long. Flowers 3 - 5 mm across, white. Sepals oblong, obtuse at apex, ca 2 mm long. Petals obovate-cuneate, rounded at apex, 2.5 - 5 mm long. Stamens 4 or rarely 6, rarely outer two abortive, 2 - 3 mm long. Ovary many-ovuled. Fruits cylindric, somewhat compressed, 15 - 25 mm long, ca 1 mm thick. Seeds 6 -12 on either side of septum, ca 1 mm long. 1993] BRASSICACEAE cm \{b mm Fig. 20. Cardamine hirsuta L. : a. plant; b. flower; c. petal; d. stamens adhering to ovary; e. dehisced fruit; f. seeds attached to septum; g. seed. 114 FLORA OF INDIA [VOL. 2 FI. & Fr. March - May (Feb. - Sept.). Distrib. India: Humid wet localities, 700 - 2500 m. Uttar Pradesh, West Bengal, Sikkim, Arunachal Pradesh, Nagaland, Meghalaya and Tamil Nadu. Cosmopolitan.",,,
"1. Casearia andamanica  King in J. Asiat.Soc. Bengal 67:16.1898; C. E. Parkinson,",2,clear_white,flowers greenish white,WHITE,"Fig. 72. For. Fl. Andaman Is. 181.1923. Trees, 8 - 15 m tall; bark yellowish brown; branchlets terete, compressed when young, pale brown, glabrous. Leaves oblong to oblong-elliptic or oblanceolate, rarely broadly elliptic, obtuse or cuneate and usually inequilateral at base, acute or short acuminate at apex, crenato-repand, undulate* to subentire along margins, (9-) 15 - 32 (-35) x (4.5-) 6 - 1 0 (-12) cm, chartaceous when mature, glossy, glabrous, green above, pale beneath, turning to olivaceous or brown when dry; secondary veins (6-) 10 -13 pairs, raised beneath, upturned; tertiary and quarternary veins together form dense reticulum which is prominent beneath; petioles 1 - 2.5 cm long, sulcate. Flowers ca 6 mm across, greenish white in densely bracteate glomerules on short tubercles; pedicels ca 6 mm long, glabrous; bracts ovate, minute. Calyx lobes broadly elliptic, concave, ca 4 mm long, glabrous. Stamens 10,1 -1.5 mm long; staminodes ca 1.5 mm long, with a tuft of hairs at apex. Ovary elongate-ellipsoid, densely hairy; style short; stigma capitate. Capsules ellipsoid or ovoid, 3 - 5 x 1.5 - 2 cm, green, yellow when ripe; aril white, turns pink on drying. Fl. Jan. - April; Fr. ripens during Aug. - Sept. Distrib. India: Evergreen forests. Andaman & Nicobar Islands (South and Middle Andamans). Endemic.",,,
125. Impatiens nataliae Hook. f. in Bull. Misc. Inform.  1910: 294.1910.,4,clear_white,flowers white,WHITE,"Herbs, ca 20 cm high; stems glabrous; branches slender, ascending. Leaves oppo- site , oblong or linear-oblong, firm, lower ones obovate, acute or obtuse, spinulose serrate or entire, 2 - 3 cm long; glands below petiole 2, setaceous, deflexed or absent. Inflores- cence simple, pedicellate; pedicels solitary, thread-like; fruiting pedicels little longer, deflexed. Flowers scarcely 1 cm when opened, white in dried specimens. Lateral sepals 2, linear, acuminate, 4 - 5 mm long, single nerved. Lip infundibular, elongate; spur short, hooked,attenuate. Standard large, orbicular or elliptic,little arched, mucronate at apex. Wings narrowly stalked ,9-10 mm long; basal lobes very small, trigonous, truncate; distal ones much bigger, obovate or dolabriform; dorsal auricle big, exerted or decurved. Capsules small, almost globose, about 1 cm long, shortly stalked, acute, rostrate, few-seeded; seeds globose, smooth, black, shining, about 2 mm across. BALSAMINACEAE 185 Fl. Oct. Distrib. India: Karnataka. Endemic.",,,
9. Hiptage thothathrii  Balakr. &  Srivastava  in J. Econ. Tax.  Bot. 4(3): 985. 1983.,4,clear_white,flowers white,WHITE,"Fig. 13. Climbers. Leaves ovate-elliptic, obtuse at base, acute at apex, 45-5.5 x 2.5-3.5 cm, glabrous; petioles 5-6 mm long, glabrous. Inflorescence appressed-pubescent; pedicels 14-20 mm long, articulate at middle; bracts ca 2 mm long, pubescent; bracteoles abortive or very minute. Flower-buds globose. Calyx lobes ovate, rounded at apex, ca 4 x 2 mm, glabrous; glands ca 4 x 1 mm. Petals suborbicular, with fimbricate margins, ca 5 mm across, white-tomentose. Filaments in shorter stamens ca 6 mm long; in longer ones 10-11 mm long; anthers ovoid, 1 -1.5 mm long. Ovary sericeous; styles ca 10 mm long. Fruits not seen. Fl. March. Distrib. India: Andaman Islands (N. Andamans, Saddle Peak). Endemic, rare. CULTIVATED GENERA & SPECIES The following genera and species are found only as cultivated ornamentals in gardens. 28 FLORA OF INDIA [VOL.4 Fig. 12. Hiptage sericea Hook. f.: a. twig; b. bud showing calycinal gland; b. samara. 19971 M A L P I G H I A C E A E 29 2 cm Fig.13. Hiptage thothathrii Balakr. & Srivastava : a. twig; b. bud; c. petal. 30 FLORA OF INDIA [VOL.4",,,
"36. Senecio  tenuif'olius  Burm.f.,  Fl. Ind. t. 60.f.4.  1768; Hook.f., Fl. Brit.",13,clear_white,disc florets white,WHITE,"India 3: 345. 1881. & multifulus Willd. Sp. PI. 3. 1986, 1800. Doronicum tenuifolium Wight, Ic. t. 1129. 1846. Herbs, annual, slender, 15-25 cm high, much branched, glabrous. Leaves ca 5 cm long, shining, glabrous, pinnatifid into many slender, irregular, spreading, linear lobes sessile, auriculate andsemiamplexicaul. Capitula radiate, ca 8 mm in diam., 5-6 bracteolate; peduncle slender, 1.5-3 cm long, glabrous with 4-5 small bracts; bracts blackish, acute. Involucre campanulate, ca 4 mm long, pubescent; bracts 10-12, oblanceolate, ca 4 x 1.2 mm, acute to acuminate, herbaceous with broad scarious margins and with yellow pubescence on nerves. Ray florets 6-10, ca 6.5 mm long; ray oblong, ca 4.5 mm long. Disc florets ca 4.5 mm long; limb cylindrical, narrowed at the base, 2 mm long, faintly ribbed, white pubescent on the ribs. Pappus of yellowish, copious hairs, equalling the achenes, ca 3.5 mm long. Fl. & Fr. July - Sept. Distrib. India: Peninsular India, between 340-1075 m. commonly found in scrub forests and hills across plains. Andhra Pradesh and Tamil Nadu. Indonesia.",,,
"33. Garcinia  travancorica  Beddome, Fl. Sylv. 1.173.1872; T. Anderson  in Fl. Brit.",3,clear_white,flowers white,WHITE,"India 1: 268.1874. Mai.: Malampongu. Trees, ca 15 m tall, magnificient; branchlets obtusely 4-angled, shiny; wood yellow- ish-brown, hard, heavy; bark exudes yellow sticky latex. Leaves 8 - 10 x 1.5 - 2.5 cm, linear-oblong to subspathulate, sometimes broader upwards, rotundate, acute at base, obtuse or blunt at apex, margins revolute, coriaceous, dark green above, pale beneath, midrib stout; lateral veins slender, indefinite, horizontal, close; finely reticulate; petioles 6 - 1 8 mm long, slender. Male flowers: in trichotomous, short, few-flowered, terminal or subterminal cymes, ca 1 cm in diam, white; pedicels ca 2 - 3 mm long, thickened; sepals 4, orbicular; outer pair much smaller than inner ca 2.5 mm in diam., inner, pair ca 4 mm in diam., concave, decussate. Petals ca 7 mm in diam., rounded, shortly clawed; stamens indefinite, in multifid, polyandrous masses; filaments short; anthers bilocular, linear-oblong, versatile, longitudinally bivalvular; rudimentary pistil columnar, with a circular, peltate stigma. Female flowers: terminal and axillary, slightly larger than male flowers; staminodes ca 5, free, slender, inserted on a hypogynous ring; filaments com- planate, linear, in 2 - 3-chotomous branches; anther locules often divaricate, oblong; ovary ca 6 x 4.5 mm, subglobose or pyriform, tetralocular, half-concealed by the large, convex, entire, ca 3 x 7 mm stigma. Berries 3 - 4 cm in diam., oblong to subglobose, contracted into a short, thick style, with a broad, imbricate stigma, ca 8 mm in diam. at top. Seeds 1-2, 2.5 - 2.8 x 1.5 -1.8 cm, brown, smooth, shiny. Fl.&Fr. Sept.-May. Distrib. India: In evergreen montane forests up to 1500 m. Kerala (Travancore) and Tamil Nadu (Tirunelveli). Endemic. Notes. Wood is brittle, and consequently not used. Yields abundant yellow gam- 1993] CLUSIACEAE 129 boge, uses of which are not yet known. Cultivated in the Lalbagh Botanic Gardens at Banglaore (Karnataka).",,,
