species_id,volume,flower_color_free_text,color_category
"791111. RAJXJ, D.C.S.  Central National Herbarium, Botanical Survey of India, P.O. Botanic",1,no flower colour mentioned,UNKNOWN
"226001. RAO, R.S.  10 A, Santosh Nagar, Hyderabad.",1,no flower colour mentioned,UNKNOWN
10. Clematis apiculata Hook.f. & Thomson,1,no flower colour mentioned,UNKNOWN
18. Thalictrum secundum Edgew.,1,no flower colour mentioned,UNKNOWN
19. Circaeaster agrestis Maxim.,1,no flower colour mentioned,UNKNOWN
20. Paeonia emodi Wallich ex Royle,1,no flower colour mentioned,UNKNOWN
22. Dillenia indica L.,1,no flower colour mentioned,UNKNOWN
23. Tetracera sarmentosa (L.) Vahl,1,no flower colour mentioned,UNKNOWN
26. Michelia punduana Hook.f. & Thomson,1,no flower colour mentioned,UNKNOWN
29. Schisandra grandiflora (Wallich) Hook.f. & Thomson,1,no flower colour mentioned,UNKNOWN
30. Tetracentron sinense Oliver,1,no flower colour mentioned,UNKNOWN
38. Mitrephora andamanica Thoth. & D. Das,1,no flower colour mentioned,UNKNOWN
50. Xylopia parvifolia (Wight) Hook. f. & Thomson,1,no flower colour mentioned,UNKNOWN
53. Stephania japonica (Thumb.) Miers var.,1,no flower colour mentioned,UNKNOWN
62. Berberis manipurana Ahrendt,1,no flower colour mentioned,UNKNOWN
64. Holboellia latifolia Wallich,1,no flower colour mentioned,UNKNOWN
65. Nymphaea tetragona Georgi,1,no flower colour mentioned,UNKNOWN
66. Brasenia schreberi J.F. Gmel.,1,no flower colour mentioned,UNKNOWN
1. A(/uilcffin fragriins  Be nth.,1,no flower colour mentioned,UNKNOWN
2. Adonis chrysocyathus Hook. f. & Thomson,1,no flower colour mentioned,UNKNOWN
3. Caltha palustris L.,1,no flower colour mentioned,UNKNOWN
4. Delphinium brunnonuwum  Royle,1,no flower colour mentioned,UNKNOWN
5. Delphinium glactale Hook.  1.  & Thomson,1,no flower colour mentioned,UNKNOWN
7. Dillenia  imlu a  L.,1,no flower colour mentioned,UNKNOWN
10. M u lic h a   insigm s W allich,1,no flower colour mentioned,UNKNOWN
11. Kadsura heteroclita  (Roxb.) Craib,1,no flower colour mentioned,UNKNOWN
12. Goniothalamus macranthus (Kurz)  Boerl.,1,no flower colour mentioned,UNKNOWN
13. Uvaria hamiltonii Hook.  f.  & Thomson,1,no flower colour mentioned,UNKNOWN
14. Coccuhispendulus (J.R.  & G.  Forst.)  Diels,1,no flower colour mentioned,UNKNOWN
15. Tinospora cordifolui  (Willd.)  Hook.  t.  &  1 homson,1,no flower colour mentioned,UNKNOWN
16. Nymphaea  rubra  Roxb. ex  Andrews,1,no flower colour mentioned,UNKNOWN
17. Nelumbo nucifera  Gacrtn.,1,no flower colour mentioned,UNKNOWN
18. Nelumbo nucifera  Gaerln.,1,no flower colour mentioned,UNKNOWN
19. Podophyllum hexandrum  Royle,1,no flower colour mentioned,UNKNOWN
"128. OKADA,  H.  &  M.  TAMURA  (1979)",1,no flower colour mentioned,UNKNOWN
11. Clematis,1,no flower colour mentioned,UNKNOWN
19. Naravelia,1,sepals brightly coloured,RED
