species_id,volume,raw_text,flower_color_free_text
"791111. RAJXJ, D.C.S.  Central National Herbarium, Botanical Survey of India, P.O. Botanic",1,"Garden, Howrah 711103. RAO, R-R. National Botanical Research Institute, Rana Pratap Marg,Lucknow",no flower colour mentioned
"226001. RAO, R.S.  10 A, Santosh Nagar, Hyderabad.",1,"RAU, M A 962, Lakshmipuram, Sheshadri Iyer Road, Mysore 570012. SHARMA, B.D. Kothi No. 455, Sector 16 - A, Faridabad 121002. SUR, P.B. Central National Herbarium, Botanical Survey of India, P.O. Botanic Garden, Howrah 711103. UNIYAL,B.P. Botanical Survey of India, Northern Circle, 192, KaulaGarh Road, Dehra Dun 248 006. a b b r e v i a t i o n s of INDIAN LANGUAGES Kum. : Kumaonese Lep. Lus. Mai. : Lepcha : Lushai : Malayalam Mani. : Manipuri Mar. : Marathi Mikir : Mikir Miri : Miri Naga : Naga Nep. Or. Port. Punj. Raj. Sans. Sant. : Nepali : Oriya : Portugese : Punjabi : Rajasthani : Sanskrit : Santa! Sind. : Sindhi Tam. : Tamil Tel. : Telugu Tipp. : Tippera (Tripura) Urdu : Urdu Abhor : Abhor And. : Andaman Asm. : Assamese Beng. : Bengali Bhoj. : Bhojpuri Bhut. : Bhutia Cachar : Cachar Coorgi : Coorgi Eng. : English Garo : Garo Garh. : Garhwali Goa. : Goanese Guj. : Gujarati Hindi : Hindi Jain. : Jaintea Jaun. : Jaunsar ICang. : Kangri Kan. : Kannada Kash. : Kashmiri Kh. Kon. : Khasi : Konkani LIST OF ILLUSTRATIONS RANUNCULACEAE",no flower colour mentioned
10. Clematis apiculata Hook.f. & Thomson,1,U. Clematis connata DC.,no flower colour mentioned
18. Thalictrum secundum Edgew.,1,QRCAEASTERACEAE,no flower colour mentioned
19. Circaeaster agrestis Maxim.,1,PAEONIACEAE,no flower colour mentioned
20. Paeonia emodi Wallich ex Royle,1,DILLENIACEAE,no flower colour mentioned
22. Dillenia indica L.,1,6 9 11 12 25 35 38 48 55 58 62 70 87 100 107 109 118 142 147 149 153 155,no flower colour mentioned
23. Tetracera sarmentosa (L.) Vahl,1,subsp. andamanica (Hoogl.) Hoogl. MAGNOLIACEAE,no flower colour mentioned
26. Michelia punduana Hook.f. & Thomson,1,ILLICIACEAE 27. niicium cambodianum Hance SCHISANDRACEAE,no flower colour mentioned
29. Schisandra grandiflora (Wallich) Hook.f. & Thomson,1,TETRACENTRACEAE,no flower colour mentioned
30. Tetracentron sinense Oliver,1,ANNONACEAE,no flower colour mentioned
38. Mitrephora andamanica Thoth. & D. Das,1,xii 160 169 171 180 185 190 192 198 210 216 219 227 233 235 238 242,no flower colour mentioned
50. Xylopia parvifolia (Wight) Hook. f. & Thomson,1,MENISPERMACEAE,no flower colour mentioned
53. Stephania japonica (Thumb.) Miers var.,1,discolor (Blume) Forman BERBERIDACEAE,no flower colour mentioned
62. Berberis manipurana Ahrendt,1,xiii 246 251 258 263 277 283 287 294 298 302 304 306 323 331 336 359 361 363 365 394 396 398 400 402 LARDIZABALACEAE,no flower colour mentioned
64. Holboellia latifolia Wallich,1,NYMPHAEACEAE,no flower colour mentioned
65. Nymphaea tetragona Georgi,1,CABOMBACEAE,no flower colour mentioned
66. Brasenia schreberi J.F. Gmel.,1,421 422 433 438,no flower colour mentioned
1. A(/uilcffin fragriins  Be nth.,1,"(Ladakh, Jammu & Kashmir, BSD).",no flower colour mentioned
2. Adonis chrysocyathus Hook. f. & Thomson,1,"(Kashmir, BSD).",no flower colour mentioned
3. Caltha palustris L.,1,"(Valley of Flowers, Uttar Pradesh, BSD).",no flower colour mentioned
4. Delphinium brunnonuwum  Royle,1,"( S ik k im , M .S a n ja p p a ) .",no flower colour mentioned
5. Delphinium glactale Hook.  1.  & Thomson,1,"(Sikkim, \1. Saniappa). b. ( u caeaster a g r a tis Maxim (Nandadevi National Park, Uttar Pradesh, BSD)",no flower colour mentioned
7. Dillenia  imlu a  L.,1,"(Eastern Ghats. Andhra Pradesh, N. Rant a Rao) H. D ille n ia p e n la g y n a R o x b . (Eastern Ghats, Tamil Nadu, C. Livingstone)",no flower colour mentioned
10. M u lic h a   insigm s W allich,1,"(Jowai, Meghalaya, N.P. Balakrishnan)",no flower colour mentioned
11. Kadsura heteroclita  (Roxb.) Craib,1,"(Jowai, Meghalaya, N.P. Balakrishnan)",no flower colour mentioned
12. Goniothalamus macranthus (Kurz)  Boerl.,1,"(Great Nicobar Island, T. Chakrabarty)",no flower colour mentioned
13. Uvaria hamiltonii Hook.  f.  & Thomson,1,"(Eastern Ghats, Andhra Pradesh, N. Rama Rao)",no flower colour mentioned
14. Coccuhispendulus (J.R.  & G.  Forst.)  Diels,1,"(Maharashtra, BSI)",no flower colour mentioned
