"flower_color_free_text","n"
"no flower colour mentioned",4836
"flowers white",364
"flowers yellow",320
"flowers pink",42
"flowers greenish white",35
"flowers pale yellow",29
"flowers bright yellow",24
"flowers purple",24
"flowers red",19
"flowers yellowish green",18
"flowers golden yellow",17
"flowers white or pink",17
"flowers greenish yellow",16
"corolla of bisexual florets yellow",12
"flowers white or yellow",12
"corolla yellow",10
"flowers pinkish",10
"flowers purplish",10
"flowers whitish",10
"flowers white or pale pink",9
"flowers white or yellowish",9
"flowers yellow with dark purple centre",9
"flowers creamy white",8
"flowers white or pale yellow",8
"flowers white or pinkish",8
"flowers white or purple",8
"flowers yellow or white",8
"petals pink",8
"flowers blue",7
"flowers yellowish-white",7
"disc florets yellow",6
"flowers creamy-white",6
"flowers greenish-yellow",6
"flowers orange-yellow",6
"flowers pale violet",6
"flowers pale white",6
"flowers yellow with purple centre",6
"flowers yellowish",6
"flowers lilac",5
"flowers orange",5
"flowers pale pink",5
"flowers reddish",5
"flowers violet",5
"ray florets yellow",5
"corolla purple",4
"flowers cream-coloured",4
"flowers pink or purple",4
"flowers pink or white",4
"flowers pinkish white",4
"flowers rose-coloured",4
